Geneid,BT549,CaOV3,EEC16,EFO27,ES2,FT246,FT33,GTFR230,HEY,IOSE11,IOSE4,JHOC5,MCAS,MCF10A,MCF7,OAW42,RMGII,UWB1_289,VOA1056,Kuramochi
ENSG00000207056.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237728.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000225126.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269978.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049245.12,2,1,1,1,1,0,2,4,4,1,3,0,0,0,1,1,3,3,2,1
ENSG00000269925.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049246.14,1,1,1,1,1,1,0,19,0,0,0,0,18,0,0,1,66,0,0,0
ENSG00000236266.1,158,106,24,99,47,10,6,120,59,58,29,77,166,29,167,21,314,52,52,156
ENSG00000049247.13,239,82,25,65,63,1,0,81,34,82,28,99,149,39,181,14,341,46,56,261
ENSG00000049249.8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270330.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116288.12,6,3,3,8,4,1,1,8,3,3,2,4,6,1,1,2,20,5,2,12
